,시군구_명,상권_코드_명,서비스_업종_코드_명,매출/점포수,증감률
310,강남구,신사동 가로수길,자동차미용,83751678.0,-8.420306516127354
311,강남구,신사동 가로수길,자동차수리,180450547.5714286,4.139761186157912
312,강남구,신사동 가로수길,스포츠클럽,201477543.6923077,-49.93175784612771
313,강남구,신사동 가로수길,PC방,1020161114.3666668,-7.310385701964918
314,강남구,신사동 가로수길,골프연습장,72332905.9,-13.746967270673423
315,강남구,신사동 가로수길,당구장,16414263.59090909,-38.27586497493858
316,강남구,신사동 가로수길,한의원,626008650.0373738,9.643013752522435
317,강남구,신사동 가로수길,치과의원,725337894.468085,10.51043085241281
318,강남구,신사동 가로수길,일반의원,829639791.1461014,8.850085477875027
319,강남구,신사동 가로수길,스포츠 강습,112369611.01410256,37.428160607106975
320,강남구,신사동 가로수길,예술학원,251914313.17559522,-26.264982845252646
321,강남구,신사동 가로수길,외국어학원,253621052.97286403,-1.4878055288214824
322,강남구,신사동 가로수길,일반교습학원,206772929.5703796,7.289526607988762
323,강남구,신사동 가로수길,커피-음료,265025573.17644513,-38.508225743322896
324,강남구,신사동 가로수길,호프-간이주점,413414528.52520764,-47.84488927577675
325,강남구,신사동 가로수길,분식전문점,290973282.7374736,-43.70053845732526
326,강남구,신사동 가로수길,치킨전문점,325564475.16544116,-60.34917016916504
327,강남구,신사동 가로수길,패스트푸드점,198072560.08565217,2.4101596025441836
328,강남구,신사동 가로수길,제과점,213007151.87246376,-52.19199085366662
329,강남구,신사동 가로수길,양식음식점,288603753.73848325,-16.79745902359049
330,강남구,신사동 가로수길,일식음식점,428557820.4668079,18.499969720441896
331,강남구,신사동 가로수길,중식음식점,359609007.4857685,-28.49583396931402
332,강남구,신사동 가로수길,한식음식점,394055352.3786153,-33.130799936209726
333,강남구,신사동 가로수길,부동산중개업,291262.1359223301,163.18961794315743
334,강남구,신사동 가로수길,청과상,13529953.75,74.38692279343528
335,강남구,청담사거리_3,철물점,87112133.0,-17.1198264655051
336,강남구,청담사거리_3,화장품,405308686.83412695,-22.65396489431167
337,강남구,청담사거리_3,문구,314564290.2,13.19440739451953
338,강남구,청담사거리_3,의약품,305465375.45,-0.3719529963069732
339,강남구,청담사거리_3,시계및귀금속,217147910.14444444,-86.9976788969908
340,강남구,청담사거리_3,일반의류,287414687.56410253,-16.648055392190557
341,강남구,청담사거리_3,핸드폰,311368710.7916667,13.232098408091232
342,강남구,청담사거리_3,편의점,771747074.25,20.40245057873203
343,강남구,청담사거리_3,슈퍼마켓,197163265.5,-46.36521497459171
344,강남구,청담사거리_3,노래방,129232478.33333334,-79.43271510166169
345,강남구,청담사거리_3,피부관리실,98551644.23076923,-89.66716287402743
346,강남구,청담사거리_3,미용실,137791004.125,-8.51678309874832
347,강남구,청담사거리_3,스포츠클럽,168303911.0833333,98.52469284170186
348,강남구,청담사거리_3,당구장,25245757.0,-46.32825230790267
349,강남구,청담사거리_3,한의원,121303040.33333334,67.24659362749395
350,강남구,청담사거리_3,치과의원,637611890.0,-9.634326768906405
351,강남구,청담사거리_3,일반의원,751425953.611111,-24.606300587743675
352,강남구,청담사거리_3,스포츠 강습,69572431.80357143,85.71183552961193
353,강남구,청담사거리_3,일반교습학원,29785138.416666668,66.27044772196948
354,강남구,청담사거리_3,커피-음료,285316970.90909094,-30.64175346709878
355,강남구,청담사거리_3,호프-간이주점,465577342.7777778,-43.00927346259531
356,강남구,청담사거리_3,분식전문점,219661062.32142857,-34.90083591926705
357,강남구,청담사거리_3,패스트푸드점,91214251.16666666,-42.95290227738481
358,강남구,청담사거리_3,제과점,266809633.5,90.15195472692704
359,강남구,청담사거리_3,양식음식점,606030497.6923077,-49.13697482305359
360,강남구,청담사거리_3,일식음식점,414043302.6031746,-36.595054267306004
361,강남구,청담사거리_3,중식음식점,521182998.79999995,17.79744816860284
362,강남구,청담사거리_3,한식음식점,546881438.5992582,-21.597154846017773
363,강남구,청담역_2,운동/경기용품,285586883.93030304,42.87607837434558
364,강남구,청담역_2,화장품,30426969.966666665,8.134180808100666
365,강남구,청담역_2,문구,241039281.5,68.15697818116837
366,강남구,청담역_2,의약품,360485411.1666667,-14.682588234394785
367,강남구,청담역_2,안경,420678979.0,-54.23964385917177
368,강남구,청담역_2,일반의류,263498855.3846154,-67.44656160034432
369,강남구,청담역_2,청과상,148192559.5,-27.64371547277311
370,강남구,청담역_2,수산물판매,0.0,0.0
371,강남구,청담역_2,핸드폰,85273139.0,146.07127632536194
372,강남구,청담역_2,편의점,1153046943.5,-3.9326265007931767
373,강남구,청담역_2,노래방,142422345.6666667,-80.08597583435859
374,강남구,청담역_2,세탁소,103475339.5,-30.58163051496922
375,강남구,청담역_2,피부관리실,15158499.599999998,119.55186254135279
376,강남구,청담역_2,미용실,131021430.0,-3.790056959318477
