,기준 년코드,기준_분기_코드,상권_구분_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,행정구_명
56,2021,3분기,R,전통시장,1001482,고덕전통시장,293123,132685,160438,49866,28269,49685,55153,43150,66999,71168,64087,35936,35067,49566,37299,41773,41540,42323,42192,42725,41563,41004,214971,450932,11740,11740560,강동구
57,2021,2분기,R,전통시장,1001482,고덕전통시장,265286,119160,146127,45455,26273,45898,48796,38342,60522,62468,57516,32636,32646,45932,34087,37983,37986,38179,37731,37949,37861,37597,214971,450932,11740,11740560,강동구
58,2021,1분기,R,전통시장,1001482,고덕전통시장,279187,128192,150995,47224,28256,49478,51448,41126,61654,65342,60364,34792,34725,48535,35429,39713,39811,40091,39870,39621,40041,40041,214971,450932,11740,11740560,강동구
59,2020,4분기,R,전통시장,1001482,고덕전통시장,240948,109673,131275,41027,24148,42292,43156,35816,54508,55331,52413,30002,30201,42321,30679,34714,34259,34629,34160,34013,34653,34519,214971,450932,11740,11740560,강동구
60,2021,3분기,R,전통시장,1001481,명일골목시장,202185,90927,111259,34813,21209,27486,32549,32540,53586,40382,39098,27588,28351,40938,25829,28992,28540,29806,29147,29806,28384,27509,212839,449977,11740,11740530,강동구
61,2021,2분기,R,전통시장,1001481,명일골목시장,190733,84422,106312,35620,20620,25019,30257,30378,48841,35915,37241,26479,27429,39497,24173,27234,27196,27249,27118,27522,27436,26979,212839,449977,11740,11740530,강동구
62,2021,1분기,R,전통시장,1001481,명일골목시장,191821,86522,105300,33853,20334,25656,31367,30009,50601,36238,37128,26516,28118,39543,24277,27216,27551,27698,27402,27302,27549,27101,212839,449977,11740,11740530,강동구
63,2020,4분기,R,전통시장,1001481,명일골목시장,196172,87687,108486,36097,20608,25958,32210,30578,50722,38592,38303,26856,27936,39404,25079,28240,28161,28347,27701,27860,28186,27675,212839,449977,11740,11740530,강동구
64,2021,3분기,R,전통시장,1001480,새마을시장,736249,347809,388439,123584,112511,123350,131031,101755,144020,173199,140037,91340,98450,142297,90928,103099,103075,104199,106004,107670,108543,103661,207504,445512,11710,11710650,송파구
65,2021,2분기,R,전통시장,1001480,새마을시장,783218,366697,416520,126710,119802,138162,137109,107313,154124,185073,146484,92464,101835,156680,100683,109122,110285,111666,110758,112044,117642,111699,207504,445512,11710,11710650,송파구
