,기준_년_코드,기준_분기_코드,서비스_업종_코드_명,상권_코드_명,분기당_매출_금액,점포수,시군구_명,매출/점포수
2877,2021,3,화장품,명동 남대문 북창동 다동 무교동 관광특구,29328562409.0,341,중구,328366153.7579725
2878,2021,3,문구,명동 남대문 북창동 다동 무교동 관광특구,3314835263.0,76,중구,186543250.20110187
2879,2021,3,서적,명동 남대문 북창동 다동 무교동 관광특구,230677835.0,40,중구,31374092.821573753
2880,2021,3,의료기기,명동 남대문 북창동 다동 무교동 관광특구,579176.0,12,중구,13103865.166666666
2881,2021,3,의약품,명동 남대문 북창동 다동 무교동 관광특구,9875778840.0,71,중구,539401947.8126099
2882,2021,3,시계및귀금속,명동 남대문 북창동 다동 무교동 관광특구,18611271019.0,219,중구,270754429.8125
2883,2021,3,안경,명동 남대문 북창동 다동 무교동 관광특구,9058744604.0,162,중구,205980433.7454809
2884,2021,3,가방,명동 남대문 북창동 다동 무교동 관광특구,2737662684.0,211,중구,53030485.667133085
2885,2021,3,신발,명동 남대문 북창동 다동 무교동 관광특구,3997772027.0,253,중구,72902902.5318233
2886,2021,3,일반의류,명동 남대문 북창동 다동 무교동 관광특구,47857716240.0,2787,중구,73720321.12434839
2887,2021,3,반찬가게,명동 남대문 북창동 다동 무교동 관광특구,14997387126.0,155,중구,403462437.3986019
2888,2021,3,청과상,명동 남대문 북창동 다동 무교동 관광특구,7324019771.0,19,중구,1462409203.0026317
2889,2021,3,수산물판매,명동 남대문 북창동 다동 무교동 관광특구,7339944.0,26,중구,1200827.4889991728
2890,2021,3,육류판매,명동 남대문 북창동 다동 무교동 관광특구,8048801447.0,14,중구,1478569450.2727275
2891,2021,3,미곡판매,명동 남대문 북창동 다동 무교동 관광특구,620629865.0,38,중구,52543789.973684214
2892,2021,3,컴퓨터및주변장치판매,명동 남대문 북창동 다동 무교동 관광특구,8752760.0,34,중구,2677363.2391035594
2893,2021,3,편의점,명동 남대문 북창동 다동 무교동 관광특구,11049424792.0,95,중구,482839781.16263187
2894,2021,3,슈퍼마켓,명동 남대문 북창동 다동 무교동 관광특구,10009159206.0,398,중구,98337479.6038843
2895,2021,3,노래방,명동 남대문 북창동 다동 무교동 관광특구,50122018.0,13,중구,16123806.461538462
2896,2021,3,고시원,명동 남대문 북창동 다동 무교동 관광특구,15538602.0,8,중구,8634321.42857143
2897,2021,3,여관,명동 남대문 북창동 다동 무교동 관광특구,616063112.0,44,중구,72369739.81778088
2898,2021,3,가전제품수리,명동 남대문 북창동 다동 무교동 관광특구,137881.0,6,중구,607332.9761904762
2899,2021,3,세탁소,명동 남대문 북창동 다동 무교동 관광특구,35338683.0,13,중구,8711019.442307692
2900,2021,3,피부관리실,명동 남대문 북창동 다동 무교동 관광특구,2298457844.0,59,중구,105341952.07692307
2901,2021,3,네일숍,명동 남대문 북창동 다동 무교동 관광특구,169541960.0,27,중구,23656658.037037037
2902,2021,3,미용실,명동 남대문 북창동 다동 무교동 관광특구,3222915054.0,74,중구,126055643.1740864
2903,2021,3,스포츠클럽,명동 남대문 북창동 다동 무교동 관광특구,240033548.0,5,중구,234394073.8
2904,2021,3,골프연습장,명동 남대문 북창동 다동 무교동 관광특구,80143754.0,7,중구,35491793.01428571
2905,2021,3,당구장,명동 남대문 북창동 다동 무교동 관광특구,356015373.0,23,중구,46343551.067028984
2906,2021,3,한의원,명동 남대문 북창동 다동 무교동 관광특구,1753050641.0,27,중구,266452774.52421653
2907,2021,3,치과의원,명동 남대문 북창동 다동 무교동 관광특구,12134245634.0,69,중구,626843500.6299245
2908,2021,3,일반의원,명동 남대문 북창동 다동 무교동 관광특구,9952544147.0,72,중구,610290883.744579
2909,2021,3,스포츠 강습,명동 남대문 북창동 다동 무교동 관광특구,94918303.0,15,중구,27526534.6625
2910,2021,3,외국어학원,명동 남대문 북창동 다동 무교동 관광특구,417405894.0,10,중구,145161447.6
2911,2021,3,일반교습학원,명동 남대문 북창동 다동 무교동 관광특구,1176000000.0,15,중구,319200000.0
2912,2021,3,커피-음료,명동 남대문 북창동 다동 무교동 관광특구,16080286383.0,357,중구,164691691.4744314
2913,2021,3,호프-간이주점,명동 남대문 북창동 다동 무교동 관광특구,3398108817.0,64,중구,243982459.54614887
2914,2021,3,분식전문점,명동 남대문 북창동 다동 무교동 관광특구,9637803253.0,240,중구,158248296.52215302
2915,2021,3,치킨전문점,명동 남대문 북창동 다동 무교동 관광특구,771148293.0,21,중구,168084963.32919252
2916,2021,3,패스트푸드점,명동 남대문 북창동 다동 무교동 관광특구,1338364590.0,73,중구,76792839.5372753
2917,2021,3,제과점,명동 남대문 북창동 다동 무교동 관광특구,4928493675.0,73,중구,269566029.9453837
2918,2021,3,양식음식점,명동 남대문 북창동 다동 무교동 관광특구,4046212894.0,89,중구,193310094.26591137
2919,2021,3,일식음식점,명동 남대문 북창동 다동 무교동 관광특구,5874129776.0,81,중구,313969328.7492174
2920,2021,3,중식음식점,명동 남대문 북창동 다동 무교동 관광특구,3989313926.0,75,중구,244810237.71081567
2921,2021,3,한식음식점,명동 남대문 북창동 다동 무교동 관광특구,40058048803.0,610,중구,288372715.0009606
